Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,23,,Yes,Aire Metropolitaine,,Female,No,Yes,20-24,Skilled manual,Product not used,Occasional,0,No,Never married,1,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,36,Yes,Yes,Drinks wine,5120,wife goes out without telling husband,1
Personnel des services directs au particulier,,Yes,2002.0,Catholic,39,28.0,No,Aire Metropolitaine,,Female,No,No,35-39,Household and domestic,Product not used,All year,1,No,10-14,Always,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,28,Yes,No,Drinks rum,5121,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,21,,Yes,Aire Metropolitaine,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,1,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,28,No,Yes,Drinks wine,5122,wife neglects the children,1
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,26,,Yes,Aire Metropolitaine,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,4,No,No,Yes,Secondary,Product not used,,No,Every day,HT7,,No,,No,28,No,No,Drinks wine,5123,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,26,,No,Aire Metropolitaine,No,Female,No,No,25-29,Not working,Product not used,,0,No,Never married,5,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,28,No,No,No Drinks,5124,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,2004.0,Protestant/Methodist/Adventist/Jehova Witness,31,30.0,Yes,Aire Metropolitaine,,Male,No,No,30-34,Skilled manual,Product not used,All year,1,Yes,10-14,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,31,Yes,No,Drinks other alcohol,5125,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2012.0,Catholic,31,23.0,No,Rest-Ouest,,Male,No,No,30-34,Skilled manual,Product not used,All year,0,No,0-4,0,No,No,No,Secondary,4,,No,"No, never",HT7,Living with him,No,,Yes,31,Yes,No,No Drinks,5126,No Beating,0
Commercant et assimilï¿½,,No,2009.0,Catholic,31,21.0,No,Rest-Ouest,,Male,No,No,30-34,Sales,Product not used,All year,1,No,5-9,1,No,No,No,No education,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,31,Yes,No,DrinksTafia/Clairin,5127,No Beating,0
Chaffeur,,Yes,1997.0,Protestant/Methodist/Adventist/Jehova Witness,45,41.0,Yes,Rest-Ouest,,Male,No,No,45-49,Sales,Product not used,All year,3,Yes,20-24,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,45,Yes,No,Drinks other alcohol,5128,No Beating,0
Employï¿½ du commerce,,No,2011.0,Protestant/Methodist/Adventist/Jehova Witness,25,24.0,No,Rest-Ouest,,Female,No,No,25-29,Sales,Product not used,All year,1,No,5-9,2,Yes,No,Yes,Primary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,No,24,Yes,No,Drinks rum,5129,No Beating,0
Cadre de la fonction publique,,Yes,2000.0,Protestant/Methodist/Adventist/Jehova Witness,45,46.0,No,Rest-Ouest,No,Male,No,No,45-49,Professional/technical/managerial,Product not used,Occasional,0,No,15-19,3,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,45,No,No,Drinks beer,5130,No Beating,0
Profession intermediare/administrative du privï¿½,,No,2008.0,No religion,37,27.0,No,Rest-Ouest,,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,1,No,5-9,17,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,37,Yes,No,Drinks rum,5131,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,No,2014.0,Protestant/Methodist/Adventist/Jehova Witness,35,42.0,No,Rest-Ouest,,Male,No,No,35-39,Skilled manual,Product not used,All year,0,No,0-4,20,No,No,No,No education,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,35,Yes,No,No Drinks,5132,No Beating,0
Policier ou militaire,,Yes,2011.0,Protestant/Methodist/Adventist/Jehova Witness,31,28.0,No,Rest-Ouest,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,2,No,5-9,4,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,31,Yes,No,Drinks beer,5133,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,2015.0,Protestant/Methodist/Adventist/Jehova Witness,36,29.0,No,Rest-Ouest,,Female,No,No,35-39,Skilled manual,Product not used,All year,1,No,0-4,4,Yes,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,57,Yes,No,Drinks rum,5134,No Beating,0
Personnel des services directs au particulier,Formerly lived with a woman,No,2005.0,Protestant/Methodist/Adventist/Jehova Witness,52,,No,Rest-Ouest,,Male,No,No,50-54,Household and domestic,Product not used,All year,0,No,10-14,4,Yes,No,Yes,Primary,Product not used,,No,Every now and then,HT7,,No,,No,52,Yes,No,Drinks rum,5135,No Beating,0
Profession de l'information des arts et spectacles,No,No,,Protestant/Methodist/Adventist/Jehova Witness,25,,No,Rest-Ouest,,Female,No,No,25-29,Professional/technical/managerial,Product not used,Occasional,0,Yes,Never married,6,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,44,Yes,No,Drinks other alcohol,5136,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Rest-Ouest,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,6,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,44,No,No,No Drinks,5137,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,17,,Yes,Rest-Ouest,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,6,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,29,No,No,Drinks wine,5138,No Beating,0
Chaffeur,,Yes,2008.0,Protestant/Methodist/Adventist/Jehova Witness,31,27.0,Yes,Rest-Ouest,,Male,No,No,30-34,Sales,Product not used,Occasional,1,No,5-9,3,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,31,Yes,No,Drinks wine,5139,No Beating,0
Insituteur et assimilï¿½s,,Yes,2010.0,Protestant/Methodist/Adventist/Jehova Witness,35,29.0,No,Rest-Ouest,,Female,No,No,35-39,Professional/technical/managerial,Product not used,All year,1,No,5-9,7,No,No,No,Higher,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,29,Yes,No,No Drinks,5140,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,24,,No,Rest-Ouest,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,4,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,29,No,No,Drinks beer,5141,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,1994.0,Protestant/Methodist/Adventist/Jehova Witness,52,48.0,No,Rest-Ouest,,Male,No,No,50-54,Skilled manual,Product not used,All year,2,No,20-24,22,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,52,Yes,No,Drinks beer,5142,No Beating,0
Chaffeur,,No,2011.0,Protestant/Methodist/Adventist/Jehova Witness,27,27.0,No,Rest-Ouest,,Male,No,No,25-29,Sales,Product not used,Occasional,0,Yes,5-9,Always,Yes,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,52,Yes,No,Drinks other alcohol,5143,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,Yes,Rest-Ouest,No,Male,No,No,15-19,Skilled manual,Product not used,Seasonal,0,Yes,Never married,Always,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,52,No,No,Drinks other alcohol,5144,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,17,,No,Rest-Ouest,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,,No,,Yes,52,No,No,Drinks beer,5145,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Rest-Ouest,No,Female,No,No,20-24,Skilled manual,Product not used,Seasonal,0,No,Never married,0,No,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,20,No,No,Drinks beer,5146,No Beating,0
Commercant et assimilï¿½,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Rest-Ouest,No,Female,No,No,15-19,Sales,Product not used,All year,0,No,Never married,0,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,20,No,No,DrinksTafia/Clairin,5147,No Beating,0
Commercant et assimilï¿½,,No,2016.0,Protestant/Methodist/Adventist/Jehova Witness,34,34.0,No,Rest-Ouest,,Male,No,No,30-34,Sales,Product not used,All year,0,No,0-4,0,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,34,Yes,No,No Drinks,5148,No Beating,0
Agriculteur,,No,2016.0,No religion,28,19.0,No,Artibonite,,Male,No,No,25-29,Agriculture - self employed,Product not used,All year,1,No,0-4,4,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,28,Yes,No,DrinksTafia/Clairin,5149,No Beating,0
Agriculteur,,No,1995.0,No religion,45,42.0,No,Artibonite,,Male,No,No,45-49,Agriculture - self employed,Product not used,All year,2,No,20-24,Always,No,No,No,No education,Product not used,,Yes,Hardly ever,HT7,Staying elsewhere,No,,Yes,45,Yes,No,DrinksTafia/Clairin,5150,No Beating,0
Cadre de la fonction publique,,No,2004.0,Vaudousant,35,27.0,Yes,Artibonite,,Male,No,No,35-39,Professional/technical/managerial,Product not used,All year,0,No,10-14,1,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,35,Yes,No,Drinks wine,5151,No Beating,0
Policier ou militaire,,No,2005.0,Catholic,30,28.0,No,Artibonite,,Male,No,No,30-34,Professional/technical/managerial,Product not used,All year,1,No,10-14,Always,Yes,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,30,Yes,No,Drinks rum,5152,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,Yes,Artibonite,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,13,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,Yes,,No,57,No,No,Drinks wine,5153,wife refuses to have sex with husband,1
Chaffeur,,No,2007.0,Protestant/Methodist/Adventist/Jehova Witness,34,25.0,No,Artibonite,,Female,No,No,30-34,Sales,Product not used,All year,1,No,5-9,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,64,Yes,No,Drinks beer,5154,No Beating,0
Agriculteur,Formerly married,No,1982.0,Vaudousant,56,,No,Artibonite,,Male,No,No,55-59,Agriculture - self employed,Product not used,All year,0,No,30+,Always,No,No,No,No education,Product not used,,Yes,Every day,HT7,,No,,Yes,56,Yes,No,DrinksTafia/Clairin,5155,No Beating,0
Agriculteur,,No,2014.0,Vaudousant,38,21.0,No,Artibonite,,Male,No,No,35-39,Agriculture - self employed,Product not used,All year,0,No,0-4,Always,Yes,No,Yes,Primary,Product not used,,Yes,Every day,HT7,Living with him,No,,Yes,38,Yes,No,Drinks rum,5156,No Beating,0
Chaffeur,Formerly married,No,2008.0,Protestant/Methodist/Adventist/Jehova Witness,33,,No,Artibonite,,Female,No,No,30-34,Sales,Product not used,All year,1,No,5-9,Always,No,No,No,No education,Product not used,,No,"No, never",HT7,,No,,Yes,56,Yes,No,No Drinks,5157,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,25,,No,Artibonite,No,Male,No,No,25-29,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,25,No,No,No Drinks,5158,No Beating,0
Agriculteur,,No,2002.0,No religion,37,38.0,No,Artibonite,,Male,No,No,35-39,Agriculture - self employed,Product not used,All year,0,No,10-14,Always,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,Living with him,No,,Yes,37,Yes,No,DrinksTafia/Clairin,5159,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,15,,No,Artibonite,No,Female,Yes,Yes,15-19,Not working,Product not used,,0,No,Never married,5,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,37,No,No,Drinks rum,5160,wife goes out without telling husband,1
Agriculteur,No,No,,No religion,19,,No,Artibonite,,Female,No,No,15-19,Agriculture - self employed,Product not used,Seasonal,0,No,Never married,6,Yes,No,Yes,Secondary,Product not used,,No,Every day,HT7,,No,,Yes,49,Yes,No,Drinks rum,5161,No Beating,0
Agriculteur,,No,2013.0,No religion,31,34.0,No,Artibonite,,Male,No,No,30-34,Agriculture - self employed,Product not used,All year,0,No,0-4,Always,Yes,No,No,Primary,3,,Yes,Hardly ever,HT7,Living with him,No,,Yes,31,Yes,No,Drinks rum,5162,No Beating,0
Personnel des services directs au particulier,,Yes,2002.0,Protestant/Methodist/Adventist/Jehova Witness,34,37.0,No,Artibonite,,Female,No,Yes,30-34,Household and domestic,Product not used,All year,0,No,10-14,Always,Yes,Yes,No,Primary,5,,Yes,Every day,HT7,Living with him,No,,Yes,37,Yes,No,Drinks rum,5163,wife goes out without telling husband,1
Cadre de la fonction publique,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,31,,No,Artibonite,,Female,No,No,30-34,Professional/technical/managerial,Product not used,All year,0,No,Never married,Always,No,No,Yes,Higher,Product not used,,No,Hardly ever,HT7,,No,,Yes,50,Yes,No,Drinks beer,5164,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Catholic,19,,No,Artibonite,No,Female,No,No,15-19,Skilled manual,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,26,No,No,Drinks rum,5165,No Beating,0
Not working and didn't work in last 12 months,No,No,,No religion,21,,No,Artibonite,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,7,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,26,No,No,Drinks rum,5166,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,19,,No,Artibonite,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,1,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,26,No,No,No Drinks,5167,No Beating,0
Agriculteur,,No,1982.0,Protestant/Methodist/Adventist/Jehova Witness,60,56.0,No,Artibonite,,Female,No,No,60-64,Agriculture - self employed,Product not used,Occasional,1,No,30+,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,56,Yes,No,No Drinks,5168,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Artibonite,No,Female,No,Yes,15-19,Not working,Product not used,,0,Yes,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,56,No,No,Drinks other alcohol,5169,wife goes out without telling husband,1
Insituteur et assimilï¿½s,,Yes,1996.0,Protestant/Methodist/Adventist/Jehova Witness,49,45.0,No,Artibonite,,Female,No,No,45-49,Professional/technical/managerial,Product not used,Seasonal,2,No,20-24,Always,No,No,No,Higher,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,45,Yes,No,No Drinks,5170,No Beating,0
Commercant et assimilï¿½,,Yes,1996.0,Protestant/Methodist/Adventist/Jehova Witness,57,43.0,No,Artibonite,No,Female,No,No,55-59,Sales,Product not used,Occasional,3,No,20-24,20,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,43,No,No,Drinks beer,5171,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,22,,No,Artibonite,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,5,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,22,No,No,No Drinks,5172,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,18,,No,Artibonite,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,22,No,No,No Drinks,5173,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,15,,No,Artibonite,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,2,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,22,No,No,No Drinks,5174,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,23,,No,Artibonite,No,Male,No,No,20-24,Not working,Product not used,,0,No,Never married,2,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,22,No,No,No Drinks,5175,No Beating,0
Insituteur et assimilï¿½s,,Yes,1997.0,Protestant/Methodist/Adventist/Jehova Witness,62,42.0,No,Artibonite,,Male,No,No,60-64,Professional/technical/managerial,Product not used,All year,2,No,15-19,37,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,62,Yes,No,No Drinks,5176,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,16,,No,Artibonite,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,62,No,No,No Drinks,5177,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,24,,No,Artibonite,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,20,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,52,No,No,Drinks beer,5178,No Beating,0
Ouvrier qualifiï¿½ de type industriel,No,No,,Protestant/Methodist/Adventist/Jehova Witness,36,,No,Artibonite,,Female,No,No,35-39,Skilled manual,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,No,61,Yes,No,Drinks rum,5179,No Beating,0
Agriculteur,,No,2000.0,Protestant/Methodist/Adventist/Jehova Witness,51,52.0,No,Artibonite,,Male,No,No,50-54,Agriculture - self employed,Product not used,Seasonal,0,No,15-19,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,Living with him,No,,No,51,Yes,No,No Drinks,5180,No Beating,0
Agriculteur,,No,1995.0,Catholic,39,39.0,No,Artibonite,,Male,No,No,35-39,Agriculture - self employed,Product not used,Seasonal,2,No,20-24,0,No,No,Yes,No education,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,39,Yes,No,Drinks beer,5181,No Beating,0
Employï¿½ du commerce,No,No,,Protestant/Methodist/Adventist/Jehova Witness,24,,No,Artibonite,No,Female,No,No,20-24,Sales,Product not used,Seasonal,0,Yes,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,48,No,No,Drinks other alcohol,5182,No Beating,0
Not working and didn't work in last 12 months,No,Yes,,No religion,22,,No,Artibonite,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,48,No,No,Drinks rum,5183,No Beating,0
Chaffeur,,No,1996.0,No religion,44,46.0,No,Artibonite,No,Female,No,No,40-44,Sales,Product not used,All year,1,No,20-24,Always,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,46,No,No,No Drinks,5184,No Beating,0
Ouvrier qualifiï¿½ de type industriel,,Yes,1992.0,Catholic,48,44.0,No,Grand'Anse,,Female,No,No,45-49,Skilled manual,Product not used,Occasional,2,No,25-29,9,No,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,Yes,44,Yes,No,DrinksTafia/Clairin,5185,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Grand'Anse,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,No,44,No,No,Drinks beer,5186,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Grand'Anse,No,Female,No,No,20-24,Not working,Product not used,,0,No,Never married,0,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,23,No,No,No Drinks,5187,No Beating,0
Not working and didn't work in last 12 months,Formerly lived with a woman,No,1980.0,Catholic,63,,No,Grand'Anse,No,Male,No,No,60-64,Not working,Product not used,,0,No,30+,10,No,No,No,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,61,No,No,DrinksTafia/Clairin,5188,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,18,,Yes,Grand'Anse,No,Female,No,No,15-19,Not working,Product not used,,0,No,Never married,3,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,27,No,No,Drinks wine,5189,No Beating,0
Artisan,,Yes,2013.0,Protestant/Methodist/Adventist/Jehova Witness,38,26.0,No,Grand'Anse,,Male,No,No,35-39,Unskilled manual,Product not used,All year,2,No,0-4,17,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,No,39,Yes,No,Drinks rum,5190,No Beating,0
Not working and didn't work in last 12 months,,No,1985.0,Protestant/Methodist/Adventist/Jehova Witness,57,50.0,No,Grand'Anse,No,Male,No,No,55-59,Not working,Product not used,,2,No,30+,7,No,No,No,Primary,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,57,No,No,No Drinks,5191,No Beating,0
Chaffeur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,28,,Yes,Grand'Anse,,Male,No,No,25-29,Sales,Product not used,Occasional,0,No,Never married,15,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,,No,,Yes,57,Yes,No,Drinks wine,5192,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Protestant/Methodist/Adventist/Jehova Witness,26,,No,Grand'Anse,,Male,No,No,25-29,Skilled manual,Product not used,All year,0,No,Never married,14,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,57,Yes,No,No Drinks,5193,No Beating,0
Commercant et assimilï¿½,No,No,,Protestant/Methodist/Adventist/Jehova Witness,20,,No,Grand'Anse,,Male,No,No,20-24,Sales,Product not used,Occasional,0,No,Never married,6,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,Yes,57,Yes,No,No Drinks,5194,No Beating,0
Agriculteur,,No,1979.0,Protestant/Methodist/Adventist/Jehova Witness,62,60.0,No,Grand'Anse,No,Female,No,No,60-64,Agriculture - self employed,Product not used,Seasonal,0,No,30+,13,Yes,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,Living with him,No,,No,60,No,No,Drinks rum,5195,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,,Yes,1986.0,Protestant/Methodist/Adventist/Jehova Witness,55,48.0,No,Grand'Anse,,Male,No,No,55-59,Skilled manual,Product not used,Seasonal,0,No,30+,18,No,No,Yes,Primary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,55,Yes,No,Drinks beer,5196,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,No religion,28,,Yes,Grand'Anse,,Male,No,No,25-29,Skilled manual,Product not used,Occasional,0,No,Never married,0,Yes,No,Yes,Higher,Product not used,,Yes,Every day,HT7,,No,,Yes,55,Yes,No,Drinks wine,5197,No Beating,0
Insituteur et assimilï¿½s,No,Yes,,Protestant/Methodist/Adventist/Jehova Witness,25,,Yes,Grand'Anse,,Male,No,No,25-29,Professional/technical/managerial,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Higher,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,55,Yes,No,Drinks wine,5198,No Beating,0
Ouvrier qualifiï¿½ de type industriel,No,No,,No religion,26,,Yes,Grand'Anse,,Female,No,No,25-29,Skilled manual,Product not used,Occasional,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,No,Yes,Every day,HT7,,No,,Yes,27,Yes,Yes,Drinks wine,5199,wife neglects the children,1
Ouvrier qualifiï¿½ de type artisanal,Formerly married,Yes,2013.0,Catholic,35,,Yes,Grand'Anse,,Female,No,No,35-39,Skilled manual,Product not used,Occasional,0,No,0-4,14,Yes,No,Yes,Higher,Product not used,,Yes,Every day,HT7,,No,,No,27,Yes,No,Drinks wine,5200,No Beating,0
Chaffeur,,No,2009.0,Catholic,32,28.0,No,Grand'Anse,,Female,No,No,30-34,Sales,Product not used,All year,0,No,5-9,8,Yes,No,Yes,Secondary,Product not used,,No,Hardly ever,HT7,Living with him,No,,Yes,28,Yes,No,Drinks rum,5201,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,No religion,33,,Yes,Grand'Anse,,Female,No,No,30-34,Skilled manual,Product not used,Seasonal,0,No,Never married,14,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,,No,,Yes,28,Yes,No,Drinks wine,5202,No Beating,0
Not working and didn't work in last 12 months,No,No,,Protestant/Methodist/Adventist/Jehova Witness,21,,Yes,Grand'Anse,No,Female,No,No,20-24,Not working,Product not used,,0,Yes,Never married,2,Yes,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,29,No,No,Drinks other alcohol,5203,No Beating,0
Insituteur et assimilï¿½s,,Yes,1993.0,Catholic,53,36.0,No,Grand'Anse,,Female,No,No,50-54,Professional/technical/managerial,Product not used,All year,1,No,20-24,9,No,No,No,Higher,Product not used,,No,"No, never",HT7,Living with him,No,,Yes,36,Yes,No,No Drinks,5204,No Beating,0
Chaffeur,,Yes,1989.0,Catholic,50,47.0,No,Grand'Anse,,Male,No,No,50-54,Sales,Product not used,All year,2,No,25-29,46,Yes,No,Yes,Secondary,Product not used,,No,Every now and then,HT7,Living with him,No,,Yes,50,Yes,No,Drinks rum,5205,No Beating,0
Chaffeur,No,No,,Protestant/Methodist/Adventist/Jehova Witness,26,,No,Grand'Anse,,Male,No,No,25-29,Sales,Product not used,All year,0,No,Never married,Always,No,No,No,Secondary,Product not used,,No,"No, never",HT7,,No,,No,50,Yes,No,No Drinks,5206,No Beating,0
